gene_ncbi,set,type
1793,mentioned_hits_null,aff_ms
50944,mentioned_hits_null,aff_ms
9987,mentioned_hits_null,aff_ms
9991,mentioned_hits_null,aff_ms
1800,mentioned_hits_null,aff_ms
1801,mentioned_hits_null,aff_ms
9993,mentioned_hits_null,aff_ms
10000,mentioned_hits_null,aff_ms
10001,mentioned_hits_null,aff_ms
1809,mentioned_hits_null,aff_ms
1808,mentioned_hits_null,aff_ms
83732,mentioned_hits_null,aff_ms
10005,mentioned_hits_null,aff_ms
10006,mentioned_hits_null,aff_ms
10010,mentioned_hits_null,aff_ms
1820,mentioned_hits_null,aff_ms
10013,mentioned_hits_null,aff_ms
1822,mentioned_hits_null,aff_ms
1823,mentioned_hits_null,aff_ms
10016,mentioned_hits_null,aff_ms
10015,mentioned_hits_null,aff_ms
1825,mentioned_hits_null,aff_ms
1824,mentioned_hits_null,aff_ms
83746,mentioned_hits_null,aff_ms
1829,mentioned_hits_null,aff_ms
83743,mentioned_hits_null,aff_ms
1828,mentioned_hits_null,aff_ms
1832,mentioned_hits_null,aff_ms
83752,mentioned_hits_null,aff_ms
10025,mentioned_hits_null,aff_ms
10024,mentioned_hits_null,aff_ms
1837,mentioned_hits_null,aff_ms
10038,mentioned_hits_null,aff_ms
10042,mentioned_hits_null,aff_ms
10043,mentioned_hits_null,aff_ms
1852,mentioned_hits_null,aff_ms
1854,mentioned_hits_null,aff_ms
1855,mentioned_hits_null,aff_ms
10048,mentioned_hits_null,aff_ms
1856,mentioned_hits_null,aff_ms
10049,mentioned_hits_null,aff_ms
1859,mentioned_hits_null,aff_ms
10051,mentioned_hits_null,aff_ms
51013,mentioned_hits_null,aff_ms
10054,mentioned_hits_null,aff_ms
10055,mentioned_hits_null,aff_ms
10053,mentioned_hits_null,aff_ms
1857,mentioned_hits_null,aff_ms
91978,mentioned_hits_null,aff_ms
83787,mentioned_hits_null,aff_ms
10059,mentioned_hits_null,aff_ms
51018,mentioned_hits_null,aff_ms
10061,mentioned_hits_null,aff_ms
51014,mentioned_hits_null,aff_ms
10056,mentioned_hits_null,aff_ms
51021,mentioned_hits_null,aff_ms
1874,mentioned_hits_null,aff_ms
10067,mentioned_hits_null,aff_ms
1876,mentioned_hits_null,aff_ms
378708,mentioned_hits_null,aff_ms
10066,mentioned_hits_null,aff_ms
1879,mentioned_hits_null,aff_ms
1877,mentioned_hits_null,aff_ms
165721,mentioned_hits_null,aff_ms
10072,mentioned_hits_null,aff_ms
10075,mentioned_hits_null,aff_ms
10078,mentioned_hits_null,aff_ms
55758,mentioned_hits_null,aff_ms
10081,mentioned_hits_null,aff_ms
10082,mentioned_hits_null,aff_ms
1891,mentioned_hits_null,aff_ms
1892,mentioned_hits_null,aff_ms
51042,mentioned_hits_null,aff_ms
51043,mentioned_hits_null,aff_ms
10084,mentioned_hits_null,aff_ms
10093,mentioned_hits_null,aff_ms
10094,mentioned_hits_null,aff_ms
10096,mentioned_hits_null,aff_ms
10097,mentioned_hits_null,aff_ms
51056,mentioned_hits_null,aff_ms
124790,mentioned_hits_null,aff_ms
1911,mentioned_hits_null,aff_ms
1912,mentioned_hits_null,aff_ms
51065,mentioned_hits_null,aff_ms
51066,mentioned_hits_null,aff_ms
1915,mentioned_hits_null,aff_ms
51068,mentioned_hits_null,aff_ms
10109,mentioned_hits_null,aff_ms
1917,mentioned_hits_null,aff_ms
10111,mentioned_hits_null,aff_ms
10112,mentioned_hits_null,aff_ms
124801,mentioned_hits_null,aff_ms
10113,mentioned_hits_null,aff_ms
51073,mentioned_hits_null,aff_ms
10116,mentioned_hits_null,aff_ms
51069,mentioned_hits_null,aff_ms
51079,mentioned_hits_null,aff_ms
10120,mentioned_hits_null,aff_ms
26505,mentioned_hits_null,aff_ms
51081,mentioned_hits_null,aff_ms
10121,mentioned_hits_null,aff_ms
26504,mentioned_hits_null,aff_ms
1933,mentioned_hits_null,aff_ms
83849,mentioned_hits_null,aff_ms
51087,mentioned_hits_null,aff_ms
10128,mentioned_hits_null,aff_ms
10129,mentioned_hits_null,aff_ms
1936,mentioned_hits_null,aff_ms
83858,mentioned_hits_null,aff_ms
10131,mentioned_hits_null,aff_ms
10133,mentioned_hits_null,aff_ms
10130,mentioned_hits_null,aff_ms
10135,mentioned_hits_null,aff_ms
1937,mentioned_hits_null,aff_ms
1939,mentioned_hits_null,aff_ms
1938,mentioned_hits_null,aff_ms
1947,mentioned_hits_null,aff_ms
10137,mentioned_hits_null,aff_ms
10138,mentioned_hits_null,aff_ms
26523,mentioned_hits_null,aff_ms
10134,mentioned_hits_null,aff_ms
26519,mentioned_hits_null,aff_ms
1953,mentioned_hits_null,aff_ms
10142,mentioned_hits_null,aff_ms
83871,mentioned_hits_null,aff_ms
1950,mentioned_hits_null,aff_ms
1952,mentioned_hits_null,aff_ms
10146,mentioned_hits_null,aff_ms
1951,mentioned_hits_null,aff_ms
1956,mentioned_hits_null,aff_ms
26528,mentioned_hits_null,aff_ms
10147,mentioned_hits_null,aff_ms
51106,mentioned_hits_null,aff_ms
10153,mentioned_hits_null,aff_ms
1962,mentioned_hits_null,aff_ms
10155,mentioned_hits_null,aff_ms
1964,mentioned_hits_null,aff_ms
1965,mentioned_hits_null,aff_ms
51116,mentioned_hits_null,aff_ms
1967,mentioned_hits_null,aff_ms
1968,mentioned_hits_null,aff_ms
51121,mentioned_hits_null,aff_ms
10160,mentioned_hits_null,aff_ms
10163,mentioned_hits_null,aff_ms
83892,mentioned_hits_null,aff_ms
10165,mentioned_hits_null,aff_ms
1974,mentioned_hits_null,aff_ms
1975,mentioned_hits_null,aff_ms
1973,mentioned_hits_null,aff_ms
1977,mentioned_hits_null,aff_ms
10171,mentioned_hits_null,aff_ms
92092,mentioned_hits_null,aff_ms
1981,mentioned_hits_null,aff_ms
51132,mentioned_hits_null,aff_ms
83903,mentioned_hits_null,aff_ms
1984,mentioned_hits_null,aff_ms
51134,mentioned_hits_null,aff_ms
51138,mentioned_hits_null,aff_ms
1982,mentioned_hits_null,aff_ms
10181,mentioned_hits_null,aff_ms
51142,mentioned_hits_null,aff_ms
1992,mentioned_hits_null,aff_ms
51143,mentioned_hits_null,aff_ms
51144,mentioned_hits_null,aff_ms
1993,mentioned_hits_null,aff_ms
1994,mentioned_hits_null,aff_ms
337867,mentioned_hits_null,aff_ms
10188,mentioned_hits_null,aff_ms
10189,mentioned_hits_null,aff_ms
51150,mentioned_hits_null,aff_ms
1995,mentioned_hits_null,aff_ms
59343,mentioned_hits_null,aff_ms
59345,mentioned_hits_null,aff_ms
51154,mentioned_hits_null,aff_ms
10196,mentioned_hits_null,aff_ms
59349,mentioned_hits_null,aff_ms
10197,mentioned_hits_null,aff_ms
10199,mentioned_hits_null,aff_ms
51160,mentioned_hits_null,aff_ms
51157,mentioned_hits_null,aff_ms
2010,mentioned_hits_null,aff_ms
2011,mentioned_hits_null,aff_ms
51164,mentioned_hits_null,aff_ms
26589,mentioned_hits_null,aff_ms
10207,mentioned_hits_null,aff_ms
10208,mentioned_hits_null,aff_ms
2017,mentioned_hits_null,aff_ms
149473,mentioned_hits_null,aff_ms
55759,mentioned_hits_null,aff_ms
10212,mentioned_hits_null,aff_ms
10213,mentioned_hits_null,aff_ms
2023,mentioned_hits_null,aff_ms
2027,mentioned_hits_null,aff_ms
92140,mentioned_hits_null,aff_ms
51182,mentioned_hits_null,aff_ms
26608,mentioned_hits_null,aff_ms
51185,mentioned_hits_null,aff_ms
26610,mentioned_hits_null,aff_ms
51184,mentioned_hits_null,aff_ms
2033,mentioned_hits_null,aff_ms
2037,mentioned_hits_null,aff_ms
51187,mentioned_hits_null,aff_ms
51191,mentioned_hits_null,aff_ms
2040,mentioned_hits_null,aff_ms
51188,mentioned_hits_null,aff_ms
2043,mentioned_hits_null,aff_ms
10236,mentioned_hits_null,aff_ms
51196,mentioned_hits_null,aff_ms
10238,mentioned_hits_null,aff_ms
2045,mentioned_hits_null,aff_ms
10240,mentioned_hits_null,aff_ms
10241,mentioned_hits_null,aff_ms
51202,mentioned_hits_null,aff_ms
10243,mentioned_hits_null,aff_ms
51203,mentioned_hits_null,aff_ms
10245,mentioned_hits_null,aff_ms
2050,mentioned_hits_null,aff_ms
10250,mentioned_hits_null,aff_ms
2059,mentioned_hits_null,aff_ms
2058,mentioned_hits_null,aff_ms
124944,mentioned_hits_null,aff_ms
10257,mentioned_hits_null,aff_ms
2065,mentioned_hits_null,aff_ms
2067,mentioned_hits_null,aff_ms
2068,mentioned_hits_null,aff_ms
83987,mentioned_hits_null,aff_ms
83988,mentioned_hits_null,aff_ms
2071,mentioned_hits_null,aff_ms
83992,mentioned_hits_null,aff_ms
83985,mentioned_hits_null,aff_ms
51225,mentioned_hits_null,aff_ms
10266,mentioned_hits_null,aff_ms
2073,mentioned_hits_null,aff_ms
10269,mentioned_hits_null,aff_ms
10270,mentioned_hits_null,aff_ms
2079,mentioned_hits_null,aff_ms
84000,mentioned_hits_null,aff_ms
10273,mentioned_hits_null,aff_ms
10274,mentioned_hits_null,aff_ms
51231,mentioned_hits_null,aff_ms
51236,mentioned_hits_null,aff_ms
10277,mentioned_hits_null,aff_ms
2077,mentioned_hits_null,aff_ms
2091,mentioned_hits_null,aff_ms
10284,mentioned_hits_null,aff_ms
346157,mentioned_hits_null,aff_ms
10286,mentioned_hits_null,aff_ms
10283,mentioned_hits_null,aff_ms
10285,mentioned_hits_null,aff_ms
51247,mentioned_hits_null,aff_ms
124975,mentioned_hits_null,aff_ms
2099,mentioned_hits_null,aff_ms
92211,mentioned_hits_null,aff_ms
51253,mentioned_hits_null,aff_ms
10294,mentioned_hits_null,aff_ms
10291,mentioned_hits_null,aff_ms
10296,mentioned_hits_null,aff_ms
51255,mentioned_hits_null,aff_ms
10295,mentioned_hits_null,aff_ms
2107,mentioned_hits_null,aff_ms
2108,mentioned_hits_null,aff_ms
280636,mentioned_hits_null,aff_ms
51260,mentioned_hits_null,aff_ms
51264,mentioned_hits_null,aff_ms
2113,mentioned_hits_null,aff_ms
84033,mentioned_hits_null,aff_ms
51271,mentioned_hits_null,aff_ms
2120,mentioned_hits_null,aff_ms
10314,mentioned_hits_null,aff_ms
2122,mentioned_hits_null,aff_ms
2125,mentioned_hits_null,aff_ms
10318,mentioned_hits_null,aff_ms
10320,mentioned_hits_null,aff_ms
10321,mentioned_hits_null,aff_ms
2130,mentioned_hits_null,aff_ms
51280,mentioned_hits_null,aff_ms
2132,mentioned_hits_null,aff_ms
254427,mentioned_hits_null,aff_ms
10327,mentioned_hits_null,aff_ms
10328,mentioned_hits_null,aff_ms
10332,mentioned_hits_null,aff_ms
51292,mentioned_hits_null,aff_ms
51293,mentioned_hits_null,aff_ms
10335,mentioned_hits_null,aff_ms
10336,mentioned_hits_null,aff_ms
51297,mentioned_hits_null,aff_ms
2146,mentioned_hits_null,aff_ms
149603,mentioned_hits_null,aff_ms
51300,mentioned_hits_null,aff_ms
84061,mentioned_hits_null,aff_ms
10342,mentioned_hits_null,aff_ms
84071,mentioned_hits_null,aff_ms
51303,mentioned_hits_null,aff_ms
2155,mentioned_hits_null,aff_ms
51309,mentioned_hits_null,aff_ms
84081,mentioned_hits_null,aff_ms
84083,mentioned_hits_null,aff_ms
51317,mentioned_hits_null,aff_ms
84085,mentioned_hits_null,aff_ms
51319,mentioned_hits_null,aff_ms
10360,mentioned_hits_null,aff_ms
51320,mentioned_hits_null,aff_ms
2170,mentioned_hits_null,aff_ms
51322,mentioned_hits_null,aff_ms
2171,mentioned_hits_null,aff_ms
10363,mentioned_hits_null,aff_ms
26747,mentioned_hits_null,aff_ms
2175,mentioned_hits_null,aff_ms
2173,mentioned_hits_null,aff_ms
2177,mentioned_hits_null,aff_ms
2178,mentioned_hits_null,aff_ms
51329,mentioned_hits_null,aff_ms
2180,mentioned_hits_null,aff_ms
2181,mentioned_hits_null,aff_ms
2182,mentioned_hits_null,aff_ms
51335,mentioned_hits_null,aff_ms
10376,mentioned_hits_null,aff_ms
51337,mentioned_hits_null,aff_ms
84106,mentioned_hits_null,aff_ms
2187,mentioned_hits_null,aff_ms
84108,mentioned_hits_null,aff_ms
10381,mentioned_hits_null,aff_ms
10382,mentioned_hits_null,aff_ms
10383,mentioned_hits_null,aff_ms
2189,mentioned_hits_null,aff_ms
2188,mentioned_hits_null,aff_ms
2194,mentioned_hits_null,aff_ms
2195,mentioned_hits_null,aff_ms
2193,mentioned_hits_null,aff_ms
2197,mentioned_hits_null,aff_ms
51350,mentioned_hits_null,aff_ms
10389,mentioned_hits_null,aff_ms
10390,mentioned_hits_null,aff_ms
2201,mentioned_hits_null,aff_ms
51347,mentioned_hits_null,aff_ms
2203,mentioned_hits_null,aff_ms
84124,mentioned_hits_null,aff_ms
10397,mentioned_hits_null,aff_ms
10399,mentioned_hits_null,aff_ms
84128,mentioned_hits_null,aff_ms
84129,mentioned_hits_null,aff_ms
51361,mentioned_hits_null,aff_ms
10403,mentioned_hits_null,aff_ms
51362,mentioned_hits_null,aff_ms
51364,mentioned_hits_null,aff_ms
51366,mentioned_hits_null,aff_ms
84135,mentioned_hits_null,aff_ms
84132,mentioned_hits_null,aff_ms
10409,mentioned_hits_null,aff_ms
84138,mentioned_hits_null,aff_ms
84133,mentioned_hits_null,aff_ms
10412,mentioned_hits_null,aff_ms
51373,mentioned_hits_null,aff_ms
84142,mentioned_hits_null,aff_ms
2222,mentioned_hits_null,aff_ms
2224,mentioned_hits_null,aff_ms
51377,mentioned_hits_null,aff_ms
10413,mentioned_hits_null,aff_ms
10419,mentioned_hits_null,aff_ms
10420,mentioned_hits_null,aff_ms
10421,mentioned_hits_null,aff_ms
10422,mentioned_hits_null,aff_ms
10423,mentioned_hits_null,aff_ms
10424,mentioned_hits_null,aff_ms
92345,mentioned_hits_null,aff_ms
10426,mentioned_hits_null,aff_ms
51386,mentioned_hits_null,aff_ms
2235,mentioned_hits_null,aff_ms
84154,mentioned_hits_null,aff_ms
2237,mentioned_hits_null,aff_ms
51388,mentioned_hits_null,aff_ms
84159,mentioned_hits_null,aff_ms
10432,mentioned_hits_null,aff_ms
2241,mentioned_hits_null,aff_ms
10434,mentioned_hits_null,aff_ms
116931,mentioned_hits_null,aff_ms
84164,mentioned_hits_null,aff_ms
2247,mentioned_hits_null,aff_ms
51400,mentioned_hits_null,aff_ms
84168,mentioned_hits_null,aff_ms
84172,mentioned_hits_null,aff_ms
10445,mentioned_hits_null,aff_ms
51406,mentioned_hits_null,aff_ms
10444,mentioned_hits_null,aff_ms
2256,mentioned_hits_null,aff_ms
10449,mentioned_hits_null,aff_ms
10450,mentioned_hits_null,aff_ms
10452,mentioned_hits_null,aff_ms
2260,mentioned_hits_null,aff_ms
10454,mentioned_hits_null,aff_ms
10455,mentioned_hits_null,aff_ms
84181,mentioned_hits_null,aff_ms
10456,mentioned_hits_null,aff_ms
10458,mentioned_hits_null,aff_ms
84188,mentioned_hits_null,aff_ms
51421,mentioned_hits_null,aff_ms
2271,mentioned_hits_null,aff_ms
84191,mentioned_hits_null,aff_ms
10465,mentioned_hits_null,aff_ms
2273,mentioned_hits_null,aff_ms
2274,mentioned_hits_null,aff_ms
51428,mentioned_hits_null,aff_ms
51429,mentioned_hits_null,aff_ms
2275,mentioned_hits_null,aff_ms
10471,mentioned_hits_null,aff_ms
10469,mentioned_hits_null,aff_ms
51433,mentioned_hits_null,aff_ms
10474,mentioned_hits_null,aff_ms
51434,mentioned_hits_null,aff_ms
10476,mentioned_hits_null,aff_ms
84197,mentioned_hits_null,aff_ms
2287,mentioned_hits_null,aff_ms
2288,mentioned_hits_null,aff_ms
2289,mentioned_hits_null,aff_ms
51441,mentioned_hits_null,aff_ms
10480,mentioned_hits_null,aff_ms
10484,mentioned_hits_null,aff_ms
10483,mentioned_hits_null,aff_ms
51444,mentioned_hits_null,aff_ms
10487,mentioned_hits_null,aff_ms
92399,mentioned_hits_null,aff_ms
2296,mentioned_hits_null,aff_ms
10486,mentioned_hits_null,aff_ms
10491,mentioned_hits_null,aff_ms
10492,mentioned_hits_null,aff_ms
10493,mentioned_hits_null,aff_ms
10494,mentioned_hits_null,aff_ms
10498,mentioned_hits_null,aff_ms
51460,mentioned_hits_null,aff_ms
84229,mentioned_hits_null,aff_ms
84231,mentioned_hits_null,aff_ms
10505,mentioned_hits_null,aff_ms
2314,mentioned_hits_null,aff_ms
387338,mentioned_hits_null,aff_ms
2316,mentioned_hits_null,aff_ms
2317,mentioned_hits_null,aff_ms
2318,mentioned_hits_null,aff_ms
2319,mentioned_hits_null,aff_ms
26512,mentioned_hits_null,aff_ms
10513,mentioned_hits_null,aff_ms
10514,mentioned_hits_null,aff_ms
51474,mentioned_hits_null,aff_ms
84236,mentioned_hits_null,aff_ms
51477,mentioned_hits_null,aff_ms
2322,mentioned_hits_null,aff_ms
51479,mentioned_hits_null,aff_ms
84248,mentioned_hits_null,aff_ms
10521,mentioned_hits_null,aff_ms
84250,mentioned_hits_null,aff_ms
10523,mentioned_hits_null,aff_ms
10524,mentioned_hits_null,aff_ms
2332,mentioned_hits_null,aff_ms
10526,mentioned_hits_null,aff_ms
10527,mentioned_hits_null,aff_ms
84256,mentioned_hits_null,aff_ms
10528,mentioned_hits_null,aff_ms
2335,mentioned_hits_null,aff_ms
51491,mentioned_hits_null,aff_ms
10525,mentioned_hits_null,aff_ms
51493,mentioned_hits_null,aff_ms
10534,mentioned_hits_null,aff_ms
51495,mentioned_hits_null,aff_ms
84263,mentioned_hits_null,aff_ms
26517,mentioned_hits_null,aff_ms
2346,mentioned_hits_null,aff_ms
84266,mentioned_hits_null,aff_ms
10539,mentioned_hits_null,aff_ms
10540,mentioned_hits_null,aff_ms
10536,mentioned_hits_null,aff_ms
51503,mentioned_hits_null,aff_ms
84271,mentioned_hits_null,aff_ms
84273,mentioned_hits_null,aff_ms
51506,mentioned_hits_null,aff_ms
2355,mentioned_hits_null,aff_ms
10548,mentioned_hits_null,aff_ms
10549,mentioned_hits_null,aff_ms
10550,mentioned_hits_null,aff_ms
10544,mentioned_hits_null,aff_ms
10551,mentioned_hits_null,aff_ms
51504,mentioned_hits_null,aff_ms
51514,mentioned_hits_null,aff_ms
26521,mentioned_hits_null,aff_ms
84284,mentioned_hits_null,aff_ms
10556,mentioned_hits_null,aff_ms
10558,mentioned_hits_null,aff_ms
51517,mentioned_hits_null,aff_ms
51520,mentioned_hits_null,aff_ms
10555,mentioned_hits_null,aff_ms
10564,mentioned_hits_null,aff_ms
10565,mentioned_hits_null,aff_ms
84294,mentioned_hits_null,aff_ms
84295,mentioned_hits_null,aff_ms
84296,mentioned_hits_null,aff_ms
51529,mentioned_hits_null,aff_ms
26953,mentioned_hits_null,aff_ms
10569,mentioned_hits_null,aff_ms
84298,mentioned_hits_null,aff_ms
10572,mentioned_hits_null,aff_ms
84301,mentioned_hits_null,aff_ms
10574,mentioned_hits_null,aff_ms
10575,mentioned_hits_null,aff_ms
10576,mentioned_hits_null,aff_ms
26958,mentioned_hits_null,aff_ms
10573,mentioned_hits_null,aff_ms
84303,mentioned_hits_null,aff_ms
51535,mentioned_hits_null,aff_ms
84306,mentioned_hits_null,aff_ms
84310,mentioned_hits_null,aff_ms
84311,mentioned_hits_null,aff_ms
84312,mentioned_hits_null,aff_ms
51542,mentioned_hits_null,aff_ms
51538,mentioned_hits_null,aff_ms
10588,mentioned_hits_null,aff_ms
26973,mentioned_hits_null,aff_ms
84313,mentioned_hits_null,aff_ms
5360,mentioned_hits_null,aff_ms
10592,mentioned_hits_null,aff_ms
51552,mentioned_hits_null,aff_ms
10594,mentioned_hits_null,aff_ms
10598,mentioned_hits_null,aff_ms
84326,mentioned_hits_null,aff_ms
51560,mentioned_hits_null,aff_ms
92521,mentioned_hits_null,aff_ms
10600,mentioned_hits_null,aff_ms
26986,mentioned_hits_null,aff_ms
26985,mentioned_hits_null,aff_ms
51564,mentioned_hits_null,aff_ms
84333,mentioned_hits_null,aff_ms
10606,mentioned_hits_null,aff_ms
10607,mentioned_hits_null,aff_ms
10605,mentioned_hits_null,aff_ms
26993,mentioned_hits_null,aff_ms
51569,mentioned_hits_null,aff_ms
26995,mentioned_hits_null,aff_ms
84335,mentioned_hits_null,aff_ms
10613,mentioned_hits_null,aff_ms
51574,mentioned_hits_null,aff_ms
51575,mentioned_hits_null,aff_ms
10616,mentioned_hits_null,aff_ms
27000,mentioned_hits_null,aff_ms
10615,mentioned_hits_null,aff_ms
10611,mentioned_hits_null,aff_ms
10612,mentioned_hits_null,aff_ms
84342,mentioned_hits_null,aff_ms
10623,mentioned_hits_null,aff_ms
10625,mentioned_hits_null,aff_ms
10627,mentioned_hits_null,aff_ms
51588,mentioned_hits_null,aff_ms
10629,mentioned_hits_null,aff_ms
51592,mentioned_hits_null,aff_ms
51593,mentioned_hits_null,aff_ms
10632,mentioned_hits_null,aff_ms
51596,mentioned_hits_null,aff_ms
84365,mentioned_hits_null,aff_ms
51599,mentioned_hits_null,aff_ms
10640,mentioned_hits_null,aff_ms
51602,mentioned_hits_null,aff_ms
10642,mentioned_hits_null,aff_ms
10644,mentioned_hits_null,aff_ms
10643,mentioned_hits_null,aff_ms
51606,mentioned_hits_null,aff_ms
117143,mentioned_hits_null,aff_ms
51608,mentioned_hits_null,aff_ms
51605,mentioned_hits_null,aff_ms
10645,mentioned_hits_null,aff_ms
10651,mentioned_hits_null,aff_ms
10653,mentioned_hits_null,aff_ms
51614,mentioned_hits_null,aff_ms
10656,mentioned_hits_null,aff_ms
10657,mentioned_hits_null,aff_ms
10658,mentioned_hits_null,aff_ms
27043,mentioned_hits_null,aff_ms
27044,mentioned_hits_null,aff_ms
10659,mentioned_hits_null,aff_ms
51622,mentioned_hits_null,aff_ms
117159,mentioned_hits_null,aff_ms
10664,mentioned_hits_null,aff_ms
2475,mentioned_hits_null,aff_ms
10670,mentioned_hits_null,aff_ms
51631,mentioned_hits_null,aff_ms
10672,mentioned_hits_null,aff_ms
2483,mentioned_hits_null,aff_ms
51635,mentioned_hits_null,aff_ms
51637,mentioned_hits_null,aff_ms
51639,mentioned_hits_null,aff_ms
51642,mentioned_hits_null,aff_ms
117178,mentioned_hits_null,aff_ms
27068,mentioned_hits_null,aff_ms
51645,mentioned_hits_null,aff_ms
10682,mentioned_hits_null,aff_ms
10687,mentioned_hits_null,aff_ms
51647,mentioned_hits_null,aff_ms
92609,mentioned_hits_null,aff_ms
51649,mentioned_hits_null,aff_ms
84418,mentioned_hits_null,aff_ms
10693,mentioned_hits_null,aff_ms
51654,mentioned_hits_null,aff_ms
10694,mentioned_hits_null,aff_ms
27086,mentioned_hits_null,aff_ms
51663,mentioned_hits_null,aff_ms
133584,mentioned_hits_null,aff_ms
27089,mentioned_hits_null,aff_ms
51668,mentioned_hits_null,aff_ms
51669,mentioned_hits_null,aff_ms
27095,mentioned_hits_null,aff_ms
27097,mentioned_hits_null,aff_ms
2521,mentioned_hits_null,aff_ms
10713,mentioned_hits_null,aff_ms
10714,mentioned_hits_null,aff_ms
27101,mentioned_hits_null,aff_ms
84445,mentioned_hits_null,aff_ms
10716,mentioned_hits_null,aff_ms
149986,mentioned_hits_null,aff_ms
84450,mentioned_hits_null,aff_ms
10724,mentioned_hits_null,aff_ms
10726,mentioned_hits_null,aff_ms
2534,mentioned_hits_null,aff_ms
10728,mentioned_hits_null,aff_ms
84456,mentioned_hits_null,aff_ms
166378,mentioned_hits_null,aff_ms
2539,mentioned_hits_null,aff_ms
51692,mentioned_hits_null,aff_ms
84461,mentioned_hits_null,aff_ms
51690,mentioned_hits_null,aff_ms
51691,mentioned_hits_null,aff_ms
10735,mentioned_hits_null,aff_ms
10730,mentioned_hits_null,aff_ms
51696,mentioned_hits_null,aff_ms
2547,mentioned_hits_null,aff_ms
133619,mentioned_hits_null,aff_ms
2549,mentioned_hits_null,aff_ms
51699,mentioned_hits_null,aff_ms
10743,mentioned_hits_null,aff_ms
27132,mentioned_hits_null,aff_ms
10749,mentioned_hits_null,aff_ms
27134,mentioned_hits_null,aff_ms
117246,mentioned_hits_null,aff_ms
51710,mentioned_hits_null,aff_ms
27136,mentioned_hits_null,aff_ms
51715,mentioned_hits_null,aff_ms
27143,mentioned_hits_null,aff_ms
51720,mentioned_hits_null,aff_ms
10762,mentioned_hits_null,aff_ms
10763,mentioned_hits_null,aff_ms
27148,mentioned_hits_null,aff_ms
51726,mentioned_hits_null,aff_ms
10767,mentioned_hits_null,aff_ms
10768,mentioned_hits_null,aff_ms
51729,mentioned_hits_null,aff_ms
10769,mentioned_hits_null,aff_ms
10771,mentioned_hits_null,aff_ms
10772,mentioned_hits_null,aff_ms
10775,mentioned_hits_null,aff_ms
2584,mentioned_hits_null,aff_ms
27161,mentioned_hits_null,aff_ms
51735,mentioned_hits_null,aff_ms
27164,mentioned_hits_null,aff_ms
51742,mentioned_hits_null,aff_ms
2590,mentioned_hits_null,aff_ms
84514,mentioned_hits_null,aff_ms
10787,mentioned_hits_null,aff_ms
10788,mentioned_hits_null,aff_ms
2597,mentioned_hits_null,aff_ms
51750,mentioned_hits_null,aff_ms
51747,mentioned_hits_null,aff_ms
51752,mentioned_hits_null,aff_ms
84516,mentioned_hits_null,aff_ms
84522,mentioned_hits_null,aff_ms
51755,mentioned_hits_null,aff_ms
84524,mentioned_hits_null,aff_ms
10797,mentioned_hits_null,aff_ms
27183,mentioned_hits_null,aff_ms
51759,mentioned_hits_null,aff_ms
10801,mentioned_hits_null,aff_ms
51762,mentioned_hits_null,aff_ms
10802,mentioned_hits_null,aff_ms
51765,mentioned_hits_null,aff_ms
10808,mentioned_hits_null,aff_ms
2617,mentioned_hits_null,aff_ms
2618,mentioned_hits_null,aff_ms
10810,mentioned_hits_null,aff_ms
10813,mentioned_hits_null,aff_ms
51773,mentioned_hits_null,aff_ms
51776,mentioned_hits_null,aff_ms
10818,mentioned_hits_null,aff_ms
2627,mentioned_hits_null,aff_ms
84549,mentioned_hits_null,aff_ms
2629,mentioned_hits_null,aff_ms
26574,mentioned_hits_null,aff_ms
2631,mentioned_hits_null,aff_ms
2639,mentioned_hits_null,aff_ms
8666,mentioned_hits_null,aff_ms
2644,mentioned_hits_null,aff_ms
2648,mentioned_hits_null,aff_ms
10840,mentioned_hits_null,aff_ms
10842,mentioned_hits_null,aff_ms
10844,mentioned_hits_null,aff_ms
10845,mentioned_hits_null,aff_ms
27229,mentioned_hits_null,aff_ms
51807,mentioned_hits_null,aff_ms
51808,mentioned_hits_null,aff_ms
10847,mentioned_hits_null,aff_ms
10848,mentioned_hits_null,aff_ms
51806,mentioned_hits_null,aff_ms
27236,mentioned_hits_null,aff_ms
51809,mentioned_hits_null,aff_ms
10856,mentioned_hits_null,aff_ms
2665,mentioned_hits_null,aff_ms
2664,mentioned_hits_null,aff_ms
10857,mentioned_hits_null,aff_ms
27240,mentioned_hits_null,aff_ms
2670,mentioned_hits_null,aff_ms
10863,mentioned_hits_null,aff_ms
27248,mentioned_hits_null,aff_ms
2673,mentioned_hits_null,aff_ms
27250,mentioned_hits_null,aff_ms
10867,mentioned_hits_null,aff_ms
10868,mentioned_hits_null,aff_ms
10869,mentioned_hits_null,aff_ms
2677,mentioned_hits_null,aff_ms
8672,mentioned_hits_null,aff_ms
27258,mentioned_hits_null,aff_ms
10876,mentioned_hits_null,aff_ms
92797,mentioned_hits_null,aff_ms
2686,mentioned_hits_null,aff_ms
92799,mentioned_hits_null,aff_ms
51009,mentioned_hits_null,aff_ms
2687,mentioned_hits_null,aff_ms
2692,mentioned_hits_null,aff_ms
51010,mentioned_hits_null,aff_ms
10885,mentioned_hits_null,aff_ms
84617,mentioned_hits_null,aff_ms
10890,mentioned_hits_null,aff_ms
84619,mentioned_hits_null,aff_ms
84622,mentioned_hits_null,aff_ms
100526737,mentioned_hits_null,aff_ms
