gene_ncbi,set,type
419,genome,gwas
420,genome,gwas
421,genome,gwas
338755,genome,gwas
427,genome,gwas
429,genome,gwas
430,genome,gwas
432,genome,gwas
433,genome,gwas
434,genome,gwas
435,genome,gwas
438,genome,gwas
439,genome,gwas
440,genome,gwas
65975,genome,gwas
65977,genome,gwas
443,genome,gwas
444,genome,gwas
445,genome,gwas
65979,genome,gwas
65980,genome,gwas
65981,genome,gwas
65982,genome,gwas
65983,genome,gwas
65985,genome,gwas
65986,genome,gwas
65987,genome,gwas
65988,genome,gwas
65989,genome,gwas
65990,genome,gwas
65991,genome,gwas
65992,genome,gwas
65993,genome,gwas
460,genome,gwas
65997,genome,gwas
462,genome,gwas
463,genome,gwas
65998,genome,gwas
65999,genome,gwas
466,genome,gwas
467,genome,gwas
468,genome,gwas
66000,genome,gwas
66002,genome,gwas
471,genome,gwas
472,genome,gwas
473,genome,gwas
474,genome,gwas
475,genome,gwas
476,genome,gwas
477,genome,gwas
478,genome,gwas
479,genome,gwas
480,genome,gwas
481,genome,gwas
482,genome,gwas
483,genome,gwas
729540,genome,gwas
486,genome,gwas
487,genome,gwas
488,genome,gwas
489,genome,gwas
490,genome,gwas
491,genome,gwas
492,genome,gwas
493,genome,gwas
131566,genome,gwas
495,genome,gwas
496,genome,gwas
111644133,genome,gwas
498,genome,gwas
66035,genome,gwas
66036,genome,gwas
501,genome,gwas
66037,genome,gwas
100532726,genome,gwas
100996763,genome,gwas
506,genome,gwas
131578,genome,gwas
169436,genome,gwas
509,genome,gwas
100532731,genome,gwas
131583,genome,gwas
513,genome,gwas
514,genome,gwas
515,genome,gwas
516,genome,gwas
517,genome,gwas
518,genome,gwas
338773,genome,gwas
521,genome,gwas
522,genome,gwas
523,genome,gwas
197131,genome,gwas
525,genome,gwas
526,genome,gwas
527,genome,gwas
528,genome,gwas
529,genome,gwas
131601,genome,gwas
197135,genome,gwas
533,genome,gwas
534,genome,gwas
535,genome,gwas
537,genome,gwas
538,genome,gwas
539,genome,gwas
540,genome,gwas
131616,genome,gwas
545,genome,gwas
546,genome,gwas
547,genome,gwas
549,genome,gwas
550,genome,gwas
551,genome,gwas
552,genome,gwas
553,genome,gwas
554,genome,gwas
164395,genome,gwas
558,genome,gwas
563,genome,gwas
566,genome,gwas
567,genome,gwas
570,genome,gwas
644890,genome,gwas
572,genome,gwas
573,genome,gwas
575,genome,gwas
576,genome,gwas
577,genome,gwas
578,genome,gwas
579,genome,gwas
580,genome,gwas
581,genome,gwas
582,genome,gwas
583,genome,gwas
585,genome,gwas
586,genome,gwas
587,genome,gwas
590,genome,gwas
91298,genome,gwas
593,genome,gwas
594,genome,gwas
595,genome,gwas
596,genome,gwas
597,genome,gwas
598,genome,gwas
599,genome,gwas
131669,genome,gwas
602,genome,gwas
91300,genome,gwas
604,genome,gwas
605,genome,gwas
607,genome,gwas
608,genome,gwas
610,genome,gwas
611,genome,gwas
613,genome,gwas
100129361,genome,gwas
617,genome,gwas
622,genome,gwas
623,genome,gwas
624,genome,gwas
627,genome,gwas
629,genome,gwas
631,genome,gwas
632,genome,gwas
633,genome,gwas
634,genome,gwas
635,genome,gwas
636,genome,gwas
637,genome,gwas
638,genome,gwas
639,genome,gwas
640,genome,gwas
641,genome,gwas
642,genome,gwas
643,genome,gwas
644,genome,gwas
645,genome,gwas
646,genome,gwas
648,genome,gwas
649,genome,gwas
650,genome,gwas
651,genome,gwas
652,genome,gwas
653,genome,gwas
654,genome,gwas
655,genome,gwas
656,genome,gwas
657,genome,gwas
658,genome,gwas
659,genome,gwas
660,genome,gwas
661,genome,gwas
662,genome,gwas
663,genome,gwas
664,genome,gwas
665,genome,gwas
666,genome,gwas
667,genome,gwas
668,genome,gwas
669,genome,gwas
670,genome,gwas
671,genome,gwas
672,genome,gwas
673,genome,gwas
675,genome,gwas
676,genome,gwas
677,genome,gwas
678,genome,gwas
680,genome,gwas
682,genome,gwas
683,genome,gwas
684,genome,gwas
685,genome,gwas
686,genome,gwas
687,genome,gwas
688,genome,gwas
689,genome,gwas
694,genome,gwas
695,genome,gwas
696,genome,gwas
699,genome,gwas
100533177,genome,gwas
701,genome,gwas
705,genome,gwas
706,genome,gwas
708,genome,gwas
710,genome,gwas
712,genome,gwas
713,genome,gwas
714,genome,gwas
715,genome,gwas
716,genome,gwas
717,genome,gwas
718,genome,gwas
719,genome,gwas
720,genome,gwas
721,genome,gwas
722,genome,gwas
197322,genome,gwas
725,genome,gwas
726,genome,gwas
727,genome,gwas
728,genome,gwas
729,genome,gwas
730,genome,gwas
731,genome,gwas
732,genome,gwas
733,genome,gwas
734,genome,gwas
735,genome,gwas
197335,genome,gwas
197342,genome,gwas
738,genome,gwas
740,genome,gwas
741,genome,gwas
744,genome,gwas
745,genome,gwas
746,genome,gwas
747,genome,gwas
105372267,genome,gwas
197358,genome,gwas
752,genome,gwas
753,genome,gwas
754,genome,gwas
755,genome,gwas
164592,genome,gwas
757,genome,gwas
758,genome,gwas
759,genome,gwas
760,genome,gwas
761,genome,gwas
762,genome,gwas
763,genome,gwas
131831,genome,gwas
765,genome,gwas
766,genome,gwas
767,genome,gwas
768,genome,gwas
197370,genome,gwas
770,genome,gwas
771,genome,gwas
202052,genome,gwas
773,genome,gwas
774,genome,gwas
776,genome,gwas
777,genome,gwas
778,genome,gwas
779,genome,gwas
780,genome,gwas
781,genome,gwas
782,genome,gwas
783,genome,gwas
784,genome,gwas
785,genome,gwas
786,genome,gwas
254158,genome,gwas
788,genome,gwas
492307,genome,gwas
790,genome,gwas
492311,genome,gwas
793,genome,gwas
794,genome,gwas
795,genome,gwas
796,genome,gwas
797,genome,gwas
131870,genome,gwas
799,genome,gwas
800,genome,gwas
801,genome,gwas
131873,genome,gwas
197407,genome,gwas
805,genome,gwas
808,genome,gwas
810,genome,gwas
811,genome,gwas
105372280,genome,gwas
813,genome,gwas
814,genome,gwas
815,genome,gwas
816,genome,gwas
817,genome,gwas
818,genome,gwas
819,genome,gwas
820,genome,gwas
821,genome,gwas
822,genome,gwas
823,genome,gwas
824,genome,gwas
825,genome,gwas
826,genome,gwas
827,genome,gwas
828,genome,gwas
829,genome,gwas
830,genome,gwas
831,genome,gwas
832,genome,gwas
833,genome,gwas
834,genome,gwas
835,genome,gwas
836,genome,gwas
837,genome,gwas
838,genome,gwas
839,genome,gwas
840,genome,gwas
841,genome,gwas
842,genome,gwas
843,genome,gwas
844,genome,gwas
845,genome,gwas
846,genome,gwas
847,genome,gwas
131920,genome,gwas
164684,genome,gwas
254170,genome,gwas
100129407,genome,gwas
100526693,genome,gwas
100631383,genome,gwas
254173,genome,gwas
857,genome,gwas
858,genome,gwas
859,genome,gwas
860,genome,gwas
862,genome,gwas
863,genome,gwas
864,genome,gwas
865,genome,gwas
866,genome,gwas
867,genome,gwas
868,genome,gwas
869,genome,gwas
871,genome,gwas
873,genome,gwas
874,genome,gwas
875,genome,gwas
164714,genome,gwas
881,genome,gwas
100533105,genome,gwas
100533106,genome,gwas
885,genome,gwas
886,genome,gwas
887,genome,gwas
889,genome,gwas
890,genome,gwas
891,genome,gwas
892,genome,gwas
131965,genome,gwas
894,genome,gwas
896,genome,gwas
898,genome,gwas
899,genome,gwas
900,genome,gwas
901,genome,gwas
902,genome,gwas
