DDIT4
CCL3
PRG2
MT1M
CDC20
KIF20A
MAFF
EBI3
MELK
TOP2A
NUSAP1
RGL1
TCEAL9
SDC4
CCL20
CDK1
HJURP
KIF2C
CCL2
SLCO4A1
SLC39A8
PRG3
NDUFV2
NEK2
EPDR1
JUN
CDC45
TFRC
LMNA
SPAG5
CFH
ESPL1
EMP1
HMGB3P1
APOC1
RAD51
BTG3
CXCL3
C11orf96
CCNB2
AREG
REXO5
ETV5
SCD
SPRED2
CCNF
RCBTB2
AKIP1
CD86
TNFRSF10C
SLC46A2
LOC254896
ARHGEF40
