gene_ncbi,set
164592,genome
757,genome
758,genome
759,genome
760,genome
761,genome
762,genome
763,genome
131831,genome
765,genome
766,genome
767,genome
768,genome
197370,genome
770,genome
771,genome
202052,genome
773,genome
774,genome
776,genome
777,genome
778,genome
779,genome
780,genome
781,genome
782,genome
783,genome
784,genome
785,genome
786,genome
254158,genome
788,genome
492307,genome
790,genome
492311,genome
793,genome
794,genome
795,genome
796,genome
797,genome
131870,genome
799,genome
800,genome
801,genome
131873,genome
197407,genome
805,genome
808,genome
810,genome
811,genome
105372280,genome
813,genome
814,genome
815,genome
816,genome
817,genome
818,genome
819,genome
820,genome
821,genome
822,genome
823,genome
824,genome
825,genome
826,genome
827,genome
828,genome
829,genome
830,genome
831,genome
832,genome
833,genome
834,genome
835,genome
836,genome
837,genome
838,genome
839,genome
840,genome
841,genome
842,genome
843,genome
844,genome
845,genome
846,genome
847,genome
131920,genome
164684,genome
254170,genome
100129407,genome
100526693,genome
100631383,genome
254173,genome
857,genome
858,genome
859,genome
860,genome
862,genome
863,genome
864,genome
865,genome
866,genome
867,genome
868,genome
869,genome
871,genome
873,genome
874,genome
875,genome
164714,genome
881,genome
100533105,genome
100533106,genome
885,genome
886,genome
887,genome
889,genome
890,genome
891,genome
892,genome
131965,genome
894,genome
896,genome
898,genome
899,genome
900,genome
901,genome
902,genome
904,genome
905,genome
100303755,genome
908,genome
909,genome
910,genome
911,genome
912,genome
913,genome
914,genome
915,genome
916,genome
917,genome
919,genome
920,genome
921,genome
922,genome
923,genome
924,genome
925,genome
926,genome
927,genome
928,genome
929,genome
930,genome
931,genome
932,genome
933,genome
132001,genome
254187,genome
939,genome
940,genome
941,genome
942,genome
943,genome
944,genome
945,genome
946,genome
947,genome
948,genome
949,genome
950,genome
951,genome
952,genome
953,genome
954,genome
955,genome
956,genome
957,genome
958,genome
959,genome
960,genome
961,genome
962,genome
963,genome
100533181,genome
965,genome
966,genome
967,genome
968,genome
969,genome
970,genome
971,genome
972,genome
973,genome
974,genome
975,genome
976,genome
977,genome
978,genome
983,genome
984,genome
987,genome
988,genome
989,genome
990,genome
991,genome
164832,genome
993,genome
994,genome
995,genome
996,genome
997,genome
998,genome
999,genome
1000,genome
1001,genome
1002,genome
1003,genome
1004,genome
1005,genome
1006,genome
1007,genome
1008,genome
1009,genome
1010,genome
1012,genome
1013,genome
1014,genome
1015,genome
1016,genome
1017,genome
1018,genome
1019,genome
1020,genome
1021,genome
1022,genome
149998,genome
1024,genome
1025,genome
1026,genome
1027,genome
1028,genome
1029,genome
1030,genome
1031,genome
1032,genome
1033,genome
1036,genome
1039,genome
1040,genome
1041,genome
132112,genome
1043,genome
1044,genome
1045,genome
1046,genome
1047,genome
1048,genome
394263,genome
1050,genome
1051,genome
1052,genome
1053,genome
1054,genome
1056,genome
1058,genome
1059,genome
1060,genome
1062,genome
1063,genome
1066,genome
1068,genome
1069,genome
1070,genome
1071,genome
1072,genome
1073,genome
132141,genome
1075,genome
100526739,genome
1080,genome
1081,genome
1082,genome
100526740,genome
1084,genome
132158,genome
1087,genome
1088,genome
1089,genome
132160,genome
100507203,genome
644994,genome
1101,genome
1102,genome
1103,genome
1104,genome
1105,genome
1106,genome
1107,genome
1108,genome
1109,genome
136991,genome
1111,genome
1112,genome
1113,genome
1114,genome
1116,genome
1117,genome
1118,genome
1119,genome
1120,genome
1121,genome
254225,genome
1123,genome
221662,genome
1128,genome
1129,genome
1130,genome
1131,genome
1132,genome
1133,genome
1134,genome
1135,genome
1136,genome
1137,genome
1138,genome
1139,genome
1140,genome
1141,genome
1142,genome
1143,genome
1144,genome
1145,genome
1146,genome
1147,genome
1149,genome
1152,genome
1153,genome
1154,genome
1155,genome
132228,genome
1158,genome
1159,genome
1160,genome
1161,genome
1163,genome
1164,genome
132243,genome
1173,genome
1174,genome
1175,genome
1176,genome
1178,genome
1179,genome
1180,genome
1181,genome
1182,genome
1183,genome
1184,genome
1185,genome
1186,genome
1187,genome
1188,genome
1191,genome
1192,genome
1193,genome
254240,genome
1195,genome
1196,genome
1198,genome
1200,genome
1203,genome
1207,genome
1208,genome
1209,genome
1211,genome
1212,genome
1213,genome
1215,genome
165055,genome
100129480,genome
132299,genome
1230,genome
1232,genome
1233,genome
1234,genome
1235,genome
1236,genome
1237,genome
1238,genome
1240,genome
1241,genome
165082,genome
100533467,genome
1244,genome
132320,genome
132321,genome
254251,genome
1258,genome
1259,genome
1260,genome
1261,genome
1262,genome
1263,genome
1264,genome
1265,genome
1266,genome
1267,genome
1268,genome
1269,genome
1270,genome
1271,genome
1272,genome
100533496,genome
1277,genome
1278,genome
1280,genome
1281,genome
1282,genome
1284,genome
1285,genome
1286,genome
1287,genome
1288,genome
1289,genome
1290,genome
1291,genome
1292,genome
1293,genome
1294,genome
1295,genome
1296,genome
1297,genome
1298,genome
1299,genome
1300,genome
1301,genome
1302,genome
1303,genome
163081,genome
1305,genome
1306,genome
1307,genome
1308,genome
165140,genome
1310,genome
1311,genome
1312,genome
254263,genome
1314,genome
1315,genome
1316,genome
1317,genome
1318,genome
346525,genome
122455338,genome
122455339,genome
122455340,genome
1325,genome
1326,genome
1327,genome
122455342,genome
1329,genome
254268,genome
1337,genome
1339,genome
1340,genome
1345,genome
1346,genome
1347,genome
165186,genome
1349,genome
1350,genome
1351,genome
1352,genome
1353,genome
255349,genome
1355,genome
1356,genome
1357,genome
1358,genome
1359,genome
1360,genome
1361,genome
1362,genome
1363,genome
1364,genome
1365,genome
1366,genome
132430,genome
1368,genome
1369,genome
1370,genome
1371,genome
1373,genome
1374,genome
1375,genome
1376,genome
165215,genome
1378,genome
1379,genome
1380,genome
1381,genome
1382,genome
645051,genome
1384,genome
1385,genome
1386,genome
1387,genome
1388,genome
1389,genome
1390,genome
1392,genome
1393,genome
1394,genome
1395,genome
1396,genome
1397,genome
1398,genome
1399,genome
1400,genome
1401,genome
1404,genome
1406,genome
1407,genome
1408,genome
1409,genome
1410,genome
1411,genome
1412,genome
1413,genome
1414,genome
1415,genome
100129520,genome
1417,genome
1418,genome
1419,genome
1420,genome
1421,genome
165257,genome
1427,genome
1428,genome
1429,genome
1431,genome
1432,genome
1434,genome
1435,genome
1436,genome
1437,genome
1438,genome
1439,genome
1440,genome
1441,genome
1442,genome
1443,genome
1444,genome
1445,genome
1446,genome
1447,genome
1448,genome
117285,genome
1452,genome
1453,genome
1454,genome
1455,genome
1456,genome
1457,genome
1459,genome
1460,genome
1462,genome
1463,genome
1464,genome
1465,genome
1466,genome
1468,genome
1469,genome
1470,genome
1471,genome
1472,genome
1473,genome
1474,genome
1475,genome
1476,genome
1477,genome
1478,genome
1479,genome
404093,genome
1482,genome
100500938,genome
165324,genome
1485,genome
1486,genome
1487,genome
1488,genome
1489,genome
1490,genome
1491,genome
645073,genome
1493,genome
1495,genome
1496,genome
1497,genome
1499,genome
1500,genome
1501,genome
1503,genome
1504,genome
1506,genome
1508,genome
1509,genome
1510,genome
1511,genome
1512,genome
1513,genome
1514,genome
1515,genome
124045,genome
100861412,genome
1519,genome
1520,genome
1521,genome
1522,genome
1523,genome
1524,genome
1525,genome
1527,genome
1528,genome
100129543,genome
1534,genome
1535,genome
1536,genome
1537,genome
1538,genome
1539,genome
1540,genome
132612,genome
221491,genome
1543,genome
1544,genome
1545,genome
1548,genome
