gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
8818,27869803,False,False,True
8820,27869803,False,False,True
205428,27869803,False,False,True
641,27869803,False,False,True
8833,27869803,False,False,True
8835,27869803,False,False,True
8836,27869803,False,False,True
221830,27869803,False,False,True
402055,27869803,False,False,True
8841,27869803,False,False,True
661,27869803,False,False,True
662,27869803,False,False,True
663,27869803,False,False,True
672,27869803,False,False,True
675,27869803,False,False,True
8872,27869803,False,False,True
682,27869803,False,False,True
688,27869803,False,False,True
8881,27869803,False,False,True
8882,27869803,False,False,True
8883,27869803,False,False,True
689,27869803,False,False,True
8880,27869803,False,False,True
8886,27869803,False,False,True
90806,27869803,False,False,True
8888,27869803,False,False,True
8890,27869803,False,False,True
8891,27869803,False,False,True
8892,27869803,False,False,True
701,27869803,False,False,True
8893,27869803,False,False,True
49855,27869803,False,False,True
8896,27869803,False,False,True
705,27869803,False,False,True
699,27869803,False,False,True
8899,27869803,False,False,True
708,27869803,False,False,True
8905,27869803,False,False,True
8907,27869803,False,False,True
8914,27869803,False,False,True
221908,27869803,False,False,True
115416,27869803,False,False,True
728,27869803,False,False,True
8924,27869803,False,False,True
738,27869803,False,False,True
741,27869803,False,False,True
221927,27869803,False,False,True
746,27869803,False,False,True
90861,27869803,False,False,True
8945,27869803,False,False,True
755,27869803,False,False,True
197370,27869803,False,False,True
90874,27869803,False,False,True
790,27869803,False,False,True
492311,27869803,False,False,True
797,27869803,False,False,True
8992,27869803,False,False,True
815,27869803,False,False,True
819,27869803,False,False,True
9013,27869803,False,False,True
9014,27869803,False,False,True
9015,27869803,False,False,True
254778,27869803,False,False,True
9021,27869803,False,False,True
9022,27869803,False,False,True
832,27869803,False,False,True
833,27869803,False,False,True
9025,27869803,False,False,True
9031,27869803,False,False,True
9034,27869803,False,False,True
9039,27869803,False,False,True
9044,27869803,False,False,True
115548,27869803,False,False,True
9054,27869803,False,False,True
9055,27869803,False,False,True
9058,27869803,False,False,True
115557,27869803,False,False,True
90987,27869803,False,False,True
9070,27869803,False,False,True
353142,27869803,False,False,True
353144,27869803,False,False,True
890,27869803,False,False,True
891,27869803,False,False,True
9088,27869803,False,False,True
9091,27869803,False,False,True
9092,27869803,False,False,True
9093,27869803,False,False,True
902,27869803,False,False,True
9094,27869803,False,False,True
100303755,27869803,False,False,True
908,27869803,False,False,True
9101,27869803,False,False,True
9108,27869803,False,False,True
9114,27869803,False,False,True
9123,27869803,False,False,True
9125,27869803,False,False,True
9126,27869803,False,False,True
9128,27869803,False,False,True
9129,27869803,False,False,True
9130,27869803,False,False,True
9131,27869803,False,False,True
9136,27869803,False,False,True
9141,27869803,False,False,True
9146,27869803,False,False,True
9147,27869803,False,False,True
9150,27869803,False,False,True
960,27869803,False,False,True
971,27869803,False,False,True
9166,27869803,False,False,True
977,27869803,False,False,True
9170,27869803,False,False,True
9175,27869803,False,False,True
988,27869803,False,False,True
989,27869803,False,False,True
990,27869803,False,False,True
991,27869803,False,False,True
9184,27869803,False,False,True
9188,27869803,False,False,True
9197,27869803,False,False,True
1017,27869803,False,False,True
1019,27869803,False,False,True
9212,27869803,False,False,True
115708,27869803,False,False,True
1021,27869803,False,False,True
1022,27869803,False,False,True
1025,27869803,False,False,True
9221,27869803,False,False,True
1029,27869803,False,False,True
9231,27869803,False,False,True
1045,27869803,False,False,True
222229,27869803,False,False,True
1047,27869803,False,False,True
1051,27869803,False,False,True
222235,27869803,False,False,True
1053,27869803,False,False,True
222236,27869803,False,False,True
1058,27869803,False,False,True
1060,27869803,False,False,True
115749,27869803,False,False,True
1062,27869803,False,False,True
9260,27869803,False,False,True
222256,27869803,False,False,True
9276,27869803,False,False,True
9277,27869803,False,False,True
9282,27869803,False,False,True
9295,27869803,False,False,True
1104,27869803,False,False,True
1105,27869803,False,False,True
1108,27869803,False,False,True
1111,27869803,False,False,True
1119,27869803,False,False,True
9318,27869803,False,False,True
9319,27869803,False,False,True
9328,27869803,False,False,True
9329,27869803,False,False,True
9330,27869803,False,False,True
58485,27869803,False,False,True
9343,27869803,False,False,True
1153,27869803,False,False,True
1155,27869803,False,False,True
58506,27869803,False,False,True
1164,27869803,False,False,True
58509,27869803,False,False,True
9361,27869803,False,False,True
58517,27869803,False,False,True
1173,27869803,False,False,True
1175,27869803,False,False,True
124056,27869803,False,False,True
1176,27869803,False,False,True
25764,27869803,False,False,True
9382,27869803,False,False,True
140459,27869803,False,False,True
9391,27869803,False,False,True
9392,27869803,False,False,True
1207,27869803,False,False,True
1213,27869803,False,False,True
9410,27869803,False,False,True
25796,27869803,False,False,True
115908,27869803,False,False,True
9416,27869803,False,False,True
9419,27869803,False,False,True
25804,27869803,False,False,True
1236,27869803,False,False,True
25813,27869803,False,False,True
1241,27869803,False,False,True
165082,27869803,False,False,True
25820,27869803,False,False,True
353500,27869803,False,False,True
25821,27869803,False,False,True
9439,27869803,False,False,True
9440,27869803,False,False,True
9441,27869803,False,False,True
9442,27869803,False,False,True
9443,27869803,False,False,True
25828,27869803,False,False,True
25824,27869803,False,False,True
115939,27869803,False,False,True
25831,27869803,False,False,True
9453,27869803,False,False,True
9454,27869803,False,False,True
25839,27869803,False,False,True
1261,27869803,False,False,True
25847,27869803,False,False,True
402682,27869803,False,False,True
25851,27869803,False,False,True
25850,27869803,False,False,True
1277,27869803,False,False,True
9473,27869803,False,False,True
9477,27869803,False,False,True
1291,27869803,False,False,True
25871,27869803,False,False,True
9489,27869803,False,False,True
222484,27869803,False,False,True
9493,27869803,False,False,True
1300,27869803,False,False,True
25885,27869803,False,False,True
25888,27869803,False,False,True
1314,27869803,False,False,True
1315,27869803,False,False,True
1316,27869803,False,False,True
9512,27869803,False,False,True
25896,27869803,False,False,True
9517,27869803,False,False,True
1325,27869803,False,False,True
1327,27869803,False,False,True
9520,27869803,False,False,True
1329,27869803,False,False,True
91442,27869803,False,False,True
9524,27869803,False,False,True
9525,27869803,False,False,True
9526,27869803,False,False,True
9527,27869803,False,False,True
25909,27869803,False,False,True
25914,27869803,False,False,True
25915,27869803,False,False,True
1340,27869803,False,False,True
9533,27869803,False,False,True
124222,27869803,False,False,True
25920,27869803,False,False,True
1345,27869803,False,False,True
1352,27869803,False,False,True
25929,27869803,False,False,True
25930,27869803,False,False,True
1355,27869803,False,False,True
1353,27869803,False,False,True
9550,27869803,False,False,True
25936,27869803,False,False,True
1362,27869803,False,False,True
25939,27869803,False,False,True
9556,27869803,False,False,True
124245,27869803,False,False,True
25942,27869803,False,False,True
1365,27869803,False,False,True
1371,27869803,False,False,True
25948,27869803,False,False,True
9570,27869803,False,False,True
25957,27869803,False,False,True
1385,27869803,False,False,True
25962,27869803,False,False,True
9578,27869803,False,False,True
1387,27869803,False,False,True
9587,27869803,False,False,True
25972,27869803,False,False,True
25973,27869803,False,False,True
25974,27869803,False,False,True
1399,27869803,False,False,True
25976,27869803,False,False,True
1398,27869803,False,False,True
116092,27869803,False,False,True
25983,27869803,False,False,True
25988,27869803,False,False,True
9610,27869803,False,False,True
1419,27869803,False,False,True
140685,27869803,False,False,True
26000,27869803,False,False,True
9618,27869803,False,False,True
26003,27869803,False,False,True
1431,27869803,False,False,True
1432,27869803,False,False,True
26009,27869803,False,False,True
1434,27869803,False,False,True
91544,27869803,False,False,True
26012,27869803,False,False,True
9631,27869803,False,False,True
26015,27869803,False,False,True
26019,27869803,False,False,True
140707,27869803,False,False,True
26024,27869803,False,False,True
1452,27869803,False,False,True
9646,27869803,False,False,True
116143,27869803,False,False,True
26031,27869803,False,False,True
9647,27869803,False,False,True
1460,27869803,False,False,True
9659,27869803,False,False,True
100287932,27869803,False,False,True
1468,27869803,False,False,True
91582,27869803,False,False,True
9662,27869803,False,False,True
1469,27869803,False,False,True
1476,27869803,False,False,True
1477,27869803,False,False,True
9670,27869803,False,False,True
1479,27869803,False,False,True
50628,27869803,False,False,True
9669,27869803,False,False,True
26057,27869803,False,False,True
9675,27869803,False,False,True
26065,27869803,False,False,True
91603,27869803,False,False,True
9688,27869803,False,False,True
91608,27869803,False,False,True
1499,27869803,False,True,True
9694,27869803,False,False,True
1503,27869803,False,False,True
9700,27869803,False,False,True
26086,27869803,False,False,True
9703,27869803,False,False,True
