gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
6566,17452456,False,False,True
121260,17452456,False,False,True
6573,17452456,False,False,True
6574,17452456,False,False,True
10670,17452456,False,False,True
10671,17452456,False,False,True
80303,17452456,False,False,True
29105,17452456,False,False,True
6578,17452456,False,False,True
10675,17452456,False,False,True
8626,17452456,False,False,True
63917,17452456,False,False,True
115123,17452456,False,False,True
2487,17452456,False,False,True
6583,17452456,False,False,True
63929,17452456,False,False,True
121268,17452456,False,False,True
6581,17452456,False,False,True
8633,17452456,False,False,True
445,17452456,False,False,True
6590,17452456,False,False,True
27067,17452456,False,False,True
27072,17452456,False,False,True
29118,17452456,False,False,True
6594,17452456,False,False,True
63939,17452456,False,False,True
22980,17452456,False,False,True
8642,17452456,False,False,True
283078,17452456,False,False,True
29126,17452456,False,False,True
80328,17452456,False,False,True
55753,17452456,False,False,True
201161,17452456,False,False,True
6604,17452456,False,False,True
6605,17452456,False,False,True
8654,17452456,False,False,True
467,17452456,False,False,True
8665,17452456,False,False,True
80349,17452456,False,False,True
8671,17452456,False,False,True
80351,17452456,False,False,True
481,17452456,False,False,True
488,17452456,False,False,True
2537,17452456,False,False,True
27115,17452456,False,False,True
23020,17452456,False,False,True
84460,17452456,False,False,True
131566,17452456,False,False,True
23022,17452456,False,False,True
493,17452456,False,False,True
84466,17452456,False,False,True
66035,17452456,False,False,True
2548,17452456,False,False,True
27122,17452456,False,False,True
10742,17452456,False,False,True
4599,17452456,False,False,True
2551,17452456,False,False,True
6650,17452456,False,False,True
131578,17452456,False,False,True
8701,17452456,False,False,True
131583,17452456,False,False,True
6657,17452456,False,True,True
2562,17452456,False,False,True
515,17452456,False,False,True
6660,17452456,False,False,True
23046,17452456,False,False,True
219654,17452456,False,False,True
8712,17452456,False,False,True
55824,17452456,False,False,True
123036,17452456,False,False,True
8723,17452456,False,False,True
4627,17452456,False,False,True
4628,17452456,False,False,True
8728,17452456,False,False,True
27161,17452456,False,False,True
55837,17452456,False,False,True
2590,17452456,False,False,True
8744,17452456,False,False,True
55848,17452456,False,False,True
6696,17452456,False,False,True
10797,17452456,False,False,True
558,17452456,False,False,True
23090,17452456,False,False,True
563,17452456,False,False,True
55859,17452456,False,False,True
55862,17452456,False,False,True
6711,17452456,False,False,True
8760,17452456,False,False,True
23097,17452456,False,False,True
2619,17452456,False,False,True
2620,17452456,False,False,True
2621,17452456,False,False,True
84541,17452456,False,False,True
340542,17452456,False,False,True
2625,17452456,False,False,True
53826,17452456,False,False,True
254531,17452456,False,False,True
90693,17452456,False,False,True
2631,17452456,False,False,True
129607,17452456,False,False,True
595,17452456,False,False,True
8788,17452456,False,False,True
64087,17452456,False,False,True
162394,17452456,False,False,True
8795,17452456,False,False,True
8797,17452456,False,False,True
115294,17452456,False,False,True
8799,17452456,False,False,True
8800,17452456,False,False,True
8801,17452456,False,False,True
23136,17452456,False,False,True
154214,17452456,False,False,True
27242,17452456,False,False,True
4716,17452456,False,False,True
64108,17452456,False,False,True
27246,17452456,False,False,True
64110,17452456,False,False,True
624,17452456,False,False,True
23150,17452456,False,False,True
27250,17452456,False,False,True
627,17452456,False,False,True
23157,17452456,False,False,True
2677,17452456,False,False,True
10874,17452456,False,False,True
340602,17452456,False,False,True
8828,17452456,False,False,True
8829,17452456,False,False,True
23167,17452456,False,False,True
8835,17452456,False,False,True
644,17452456,False,False,True
23171,17452456,False,False,True
256643,17452456,False,False,True
64135,17452456,False,False,True
648,17452456,True,True,True
146057,17452456,False,False,True
8842,17452456,False,False,True
10891,17452456,False,False,True
649,17452456,False,True,True
653,17452456,False,False,True
84624,17452456,False,False,True
658,17452456,False,False,True
659,17452456,False,False,True
6804,17452456,False,False,True
27286,17452456,False,False,True
55959,17452456,False,False,True
10908,17452456,False,False,True
23197,17452456,False,False,True
137886,17452456,False,False,True
115362,17452456,False,False,True
10916,17452456,False,False,True
92840,17452456,False,False,True
684,17452456,False,False,True
23213,17452456,False,False,True
283310,17452456,False,False,True
8879,17452456,False,False,True
64175,17452456,False,False,True
23217,17452456,False,False,True
27314,17452456,False,False,True
256691,17452456,False,False,True
8884,17452456,False,False,True
84662,17452456,False,False,True
2747,17452456,False,False,True
6845,17452456,False,False,True
23231,17452456,False,False,True
170689,17452456,False,False,True
158401,17452456,False,False,True
441027,17452456,False,False,True
285381,17452456,False,False,True
285386,17452456,False,False,True
4810,17452456,False,False,True
715,17452456,False,False,True
2764,17452456,False,False,True
23244,17452456,False,False,True
718,17452456,False,False,True
719,17452456,False,False,True
4811,17452456,False,False,True
10954,17452456,False,False,True
27345,17452456,False,False,True
10964,17452456,False,False,True
84695,17452456,False,False,True
84698,17452456,False,False,True
168667,17452456,False,False,True
6876,17452456,False,False,True
10970,17452456,False,False,True
317649,17452456,False,False,True
2784,17452456,False,False,True
84707,17452456,False,False,True
90853,17452456,False,False,True
23270,17452456,False,False,True
8935,17452456,False,False,True
744,17452456,False,False,True
2791,17452456,False,False,True
6891,17452456,False,False,True
6892,17452456,False,False,True
404203,17452456,False,False,True
137970,17452456,False,False,True
4853,17452456,False,False,True
760,17452456,False,False,True
761,17452456,False,False,True
729852,17452456,False,False,True
4860,17452456,False,False,True
6910,17452456,False,False,True
4864,17452456,False,False,True
11010,17452456,False,False,True
770,17452456,False,False,True
771,17452456,False,False,True
344838,17452456,False,False,True
6919,17452456,False,False,True
2824,17452456,False,False,True
158471,17452456,False,False,True
8974,17452456,False,False,True
4879,17452456,False,False,True
23316,17452456,False,False,True
4886,17452456,False,False,True
146198,17452456,False,False,True
23321,17452456,False,False,True
375056,17452456,False,False,True
203547,17452456,False,False,True
4893,17452456,False,False,True
11037,17452456,False,False,True
221981,17452456,False,False,True
4897,17452456,False,False,True
2850,17452456,False,False,True
4905,17452456,False,False,True
4907,17452456,False,False,True
813,17452456,False,False,True
23344,17452456,False,False,True
11061,17452456,False,False,True
824,17452456,False,False,True
2872,17452456,False,False,True
23355,17452456,False,False,True
2878,17452456,False,False,True
9023,17452456,False,False,True
23359,17452456,False,False,True
144193,17452456,False,False,True
84803,17452456,False,False,True
64327,17452456,False,False,True
4938,17452456,False,False,True
4939,17452456,False,False,True
387914,17452456,False,False,True
377677,17452456,False,False,True
6990,17452456,False,False,True
2893,17452456,False,False,True
23382,17452456,False,False,True
64343,17452456,False,False,True
11096,17452456,False,False,True
857,17452456,False,False,True
7001,17452456,False,False,True
858,17452456,False,False,True
9052,17452456,False,False,True
11099,17452456,False,False,True
9053,17452456,False,False,True
54112,17452456,False,False,True
865,17452456,False,False,True
7010,17452456,False,False,True
7011,17452456,False,False,True
9057,17452456,False,False,True
127845,17452456,False,False,True
2919,17452456,False,False,True
23400,17452456,False,False,True
871,17452456,False,False,True
7020,17452456,False,False,True
23405,17452456,False,False,True
11120,17452456,False,False,True
9076,17452456,False,False,True
9077,17452456,False,False,True
56181,17452456,False,False,True
144245,17452456,False,False,True
285556,17452456,False,False,True
7039,17452456,False,False,True
7042,17452456,False,False,True
54149,17452456,False,False,True
7048,17452456,False,False,True
7049,17452456,False,False,True
64393,17452456,False,False,True
148362,17452456,False,False,True
7052,17452456,False,False,True
11145,17452456,False,False,True
64399,17452456,False,False,True
11154,17452456,False,False,True
2969,17452456,False,False,True
11162,17452456,False,False,True
11163,17452456,False,False,True
9119,17452456,False,False,True
11167,17452456,False,False,True
11168,17452456,False,False,True
5026,17452456,False,False,True
7075,17452456,False,False,True
7076,17452456,False,False,True
9122,17452456,False,False,True
7078,17452456,False,False,True
254887,17452456,False,False,True
2983,17452456,False,False,True
9120,17452456,False,False,True
23468,17452456,False,False,True
11182,17452456,False,False,True
943,17452456,False,False,True
148398,17452456,False,False,True
7089,17452456,False,False,True
80818,17452456,False,False,True
84913,17452456,False,False,True
91057,17452456,False,False,True
949,17452456,False,False,True
5045,17452456,False,False,True
23479,17452456,False,False,True
5049,17452456,False,False,True
9145,17452456,False,False,True
955,17452456,False,False,True
5054,17452456,False,False,True
960,17452456,False,False,True
7107,17452456,False,False,True
285636,17452456,False,False,True
7111,17452456,False,False,True
970,17452456,False,False,True
5067,17452456,False,False,True
84938,17452456,False,False,True
5069,17452456,False,False,True
5071,17452456,False,False,True
976,17452456,False,False,True
11221,17452456,False,False,True
7127,17452456,False,False,True
138199,17452456,False,False,True
7130,17452456,False,False,True
987,17452456,False,False,True
23516,17452456,False,False,True
3037,17452456,False,False,True
84958,17452456,False,False,True
5087,17452456,False,False,True
134111,17452456,False,False,True
993,17452456,False,False,True
256987,17452456,False,False,True
5083,17452456,False,False,True
164832,17452456,False,False,True
285671,17452456,False,False,True
1000,17452456,False,False,True
23530,17452456,False,False,True
144363,17452456,False,False,True
5100,17452456,False,False,True
130026,17452456,False,False,True
1008,17452456,False,False,True
9201,17452456,False,False,True
1010,17452456,False,False,True
9202,17452456,False,False,True
23545,17452456,False,False,True
23548,17452456,False,False,True
152573,17452456,False,False,True
1021,17452456,False,False,True
7168,17452456,False,False,True
1026,17452456,False,False,True
5122,17452456,False,False,True
134147,17452456,False,False,True
11275,17452456,False,False,True
11276,17452456,False,False,True
138255,17452456,False,False,True
11282,17452456,False,False,True
5139,17452456,False,False,True
29108,17452456,False,False,True
5142,17452456,False,False,True
23576,17452456,False,False,True
9242,17452456,False,False,True
9244,17452456,False,False,True
222236,17452456,False,False,True
9246,17452456,False,False,True
9249,17452456,False,False,True
23586,17452456,False,False,True
7204,17452456,False,False,True
154661,17452456,False,False,True
3117,17452456,False,False,True
9262,17452456,False,False,True
5165,17452456,False,False,True
7216,17452456,False,False,True
1073,17452456,False,False,True
3122,17452456,False,False,True
5178,17452456,False,False,True
54331,17452456,False,False,True
5179,17452456,False,False,True
7227,17452456,False,False,True
29760,17452456,False,False,True
285761,17452456,False,False,True
29767,17452456,False,False,True
54344,17452456,False,False,True
9289,17452456,False,False,True
1102,17452456,False,False,True
11343,17452456,False,False,True
23635,17452456,False,False,True
3157,17452456,False,False,True
3159,17452456,False,False,True
54360,17452456,False,False,True
23641,17452456,False,False,True
9308,17452456,False,False,True
117854,17452456,False,False,True
9315,17452456,False,False,True
9317,17452456,False,False,True
23657,17452456,False,False,True
1131,17452456,False,False,True
58480,17452456,False,False,True
115827,17452456,False,False,True
144501,17452456,False,False,True
7286,17452456,False,False,True
154743,17452456,False,False,True
58493,17452456,False,False,True
